NAME                                                                           VERSION                              TYPE                                     
@jridgewell/resolve-uri                                                        3.1.2                                npm                     (+1 duplicate)   
@jridgewell/source-map                                                         0.3.11                               npm                                      
@jridgewell/sourcemap-codec                                                    1.5.5                                npm                     (+1 duplicate)   
@jridgewell/trace-mapping                                                      0.3.31                               npm                     (+1 duplicate)   
@leichtgewicht/ip-codec                                                        2.0.5                                npm                                      
@next/env                                                                      16.1.6                               npm                                      
@next/swc-darwin-arm64                                                         16.1.6                               npm                                      
@next/swc-darwin-x64                                                           16.1.6                               npm                                      
@next/swc-linux-arm64-gnu                                                      16.1.6                               npm                                      
@next/swc-linux-arm64-musl                                                     16.1.6                               npm                                      
@next/swc-linux-x64-gnu                                                        16.1.6                               npm                                      
@next/swc-linux-x64-musl                                                       16.1.6                               npm                                      
@next/swc-win32-arm64-msvc                                                     16.1.6                               npm                                      
@next/swc-win32-x64-msvc                                                       16.1.6                               npm                                      
@nicolo-ribaudo/eslint-scope-5-internals                                       5.1.1-v1                             npm                                      
@nodelib/fs.scandir                                                            2.1.5                                npm                                      
@nodelib/fs.stat                                                               2.0.5                                npm                                      
@nodelib/fs.walk                                                               1.2.8                                npm                                      
@pkgjs/parseargs                                                               0.11.0                               npm                                      
@pmmmwh/react-refresh-webpack-plugin                                           0.5.17                               npm                                      
@rollup/plugin-babel                                                           5.3.1                                npm                                      
@rollup/plugin-node-resolve                                                    11.2.1                               npm                                      
@rollup/plugin-replace                                                         2.4.2                                npm                                      
@rollup/pluginutils                                                            3.1.0                                npm                                      
@rtsao/scc                                                                     1.1.0                                npm                                      
@rushstack/eslint-patch                                                        1.13.0                               npm                                      
@sentry-internal/browser-utils                                                 8.55.0                               npm                                      
@sentry-internal/feedback                                                      7.120.4                              npm                                      
@sentry-internal/feedback                                                      8.55.0                               npm                                      
@sentry-internal/replay                                                        8.55.0                               npm                                      
@sentry-internal/replay-canvas                                                 7.120.4                              npm                                      
@sentry-internal/replay-canvas                                                 8.55.0                               npm                                      
@sentry-internal/tracing                                                       7.120.4                              npm                                      
@sentry/browser                                                                7.120.4                              npm                                      
@sentry/browser                                                                8.55.0                               npm                                      
@sentry/core                                                                   7.120.4                              npm                                      
@sentry/core                                                                   8.55.0                               npm                                      
@sentry/integrations                                                           7.120.4                              npm                                      
@sentry/replay                                                                 7.120.4                              npm                                      
@sentry/types                                                                  7.120.4                              npm                                      
@sentry/utils                                                                  7.120.4                              npm                                      
@sinclair/typebox                                                              0.24.51                              npm                                      
@sinonjs/commons                                                               1.8.6                                npm                                      
@sinonjs/fake-timers                                                           8.1.0                                npm                                      
@surma/rollup-plugin-off-main-thread                                           2.2.3                                npm                                      
@svgr/babel-plugin-add-jsx-attribute                                           5.4.0                                npm                                      
@svgr/babel-plugin-remove-jsx-attribute                                        5.4.0                                npm                                      
@svgr/babel-plugin-remove-jsx-empty-expression                                 5.0.1                                npm                                      
@svgr/babel-plugin-replace-jsx-attribute-value                                 5.0.1                                npm                                      
@svgr/babel-plugin-svg-dynamic-title                                           5.4.0                                npm                                      
@svgr/babel-plugin-svg-em-dimensions                                           5.4.0                                npm                                      
@svgr/babel-plugin-transform-react-native-svg                                  5.4.0                                npm                                      
@svgr/babel-plugin-transform-svg-component                                     5.5.0                                npm                                      
@svgr/babel-preset                                                             5.5.0                                npm                                      
@svgr/core                                                                     5.5.0                                npm                                      
@svgr/hast-util-to-babel-ast                                                   5.5.0                                npm                                      
@svgr/plugin-jsx                                                               5.5.0                                npm                                      
@svgr/plugin-svgo                                                              5.5.0                                npm                                      
@svgr/webpack                                                                  5.5.0                                npm                                      
@swc/helpers                                                                   0.5.15                               npm                                      
@tootallnate/once                                                              1.1.2                                npm                                      
@trysound/sax                                                                  0.2.0                                npm                                      
@types/babel__core                                                             7.20.5                               npm                                      
@types/babel__generator                                                        7.27.0                               npm                                      
@types/babel__template                                                         7.4.4                                npm                                      
@types/babel__traverse                                                         7.28.0                               npm                                      
@types/body-parser                                                             1.19.6                               npm                                      
@types/bonjour                                                                 3.5.13                               npm                                      
@types/connect                                                                 3.4.38                               npm                                      
